Category,Word,Frequency
emergency,national,28
emergency,president,22
emergency,need,19
emergency,plan,18
emergency,school,18
emergency,health,16
emergency,assistance,15
emergency,act,13
emergency,relief,12
emergency,program,12
threat,threaten,78
threat,climate,48
threat,president,45
threat,change,39
threat,health,39
threat,world,39
threat,pose,32
threat,existential,32
threat,trump,32
threat,know,31
disaster,natural,8
disaster,emergency,7
disaster,trump,7
disaster,response,6
disaster,administration,5
disaster,president,4
disaster,change,4
disaster,sure,4
disaster,people,4
disaster,economic,4
danger,dangerous,101
danger,people,31
danger,know,28
danger,president,27
danger,trump,21
danger,american,15
danger,protect,14
danger,country,13
danger,life,11
danger,endanger,11
urgency,american,8
urgency,need,7
urgency,joe,7
urgency,real,7
urgency,climate,6
urgency,sense,6
urgency,month,6
urgency,pursue,6
urgency,stake,6
urgency,crisis,5
peril,perilous,9
peril,moment,6
peril,know,5
peril,fact,4
peril,imperil,4
peril,america,4
peril,country,3
peril,soul,3
peril,press,3
peril,matter,3
instability,trumpshaped,1
instability,hole,1
instability,americas,1
instability,credibility,1
instability,chaos,1
instability,threat,1
instability,american,1
instability,people,1
instability,partner,1
instability,ally,1
terror,terrorism,35
terror,terrorist,29
terror,domestic,18
terror,work,9
terror,threat,8
terror,nation,7
terror,american,7
terror,america,6
terror,fight,6
terror,isis,6
progress,progressive,22
progress,administration,22
progress,president,21
progress,people,20
progress,nation,15
progress,build,15
progress,country,14
progress,year,13
progress,fight,13
progress,care,13
prosperity,american,16
prosperity,battle,9
prosperity,democracy,7
prosperity,country,7
prosperity,engine,7
prosperity,world,7
prosperity,war,7
prosperity,economic,6
prosperity,health,6
prosperity,create,5
innovation,investment,11
innovation,manufacturing,9
innovation,america,9
innovation,american,8
innovation,job,8
innovation,energy,7
innovation,infrastructure,7
innovation,clean,6
innovation,research,5
innovation,bold,5
future,america,93
future,build,81
future,know,64
future,country,49
future,american,49
future,president,44
future,people,40
future,job,38
future,need,32
future,energy,31
hope,people,57
hope,choose,46
hope,know,44
hope,president,40
hope,come,37
hope,trump,34
hope,fear,34
hope,good,31
hope,america,30
hope,american,30
advancement,establish,2
advancement,lgbtq,2
advancement,equality,2
advancement,foreign,2
advancement,policy,2
advancement,people,1
advancement,united,1
advancement,states,1
advancement,time,1
advancement,build,1
vision,division,165
vision,provision,58
vision,choose,50
vision,country,39
vision,america,38
vision,president,35
vision,unity,31
vision,hope,29
vision,fear,29
vision,people,29
american,americans,1153
american,people,720
american,million,405
american,president,330
american,know,261
american,trump,207
american,work,204
american,job,192
american,worker,187
american,america,180
national,international,106
national,security,105
national,president,57
national,captioning,55
national,need,55
national,work,45
national,trump,38
national,caption,35
national,perform,35
national,united,35
pride,build,7
pride,independence,7
pride,reputation,7
pride,community,7
pride,fierce,6
pride,character,6
pride,dignity,6
pride,month,6
pride,year,5
pride,march,5
proud,president,69
proud,democrat,47
proud,run,35
proud,work,33
proud,american,33
proud,joe,30
proud,know,27
proud,biden,27
proud,stand,26
proud,country,22
constitution,united,34
constitution,constitutional,34
constitution,states,33
constitution,president,32
constitution,law,28
constitution,people,24
constitution,right,21
constitution,america,17
constitution,nation,16
constitution,authority,13
constitutional,right,9
constitutional,law,8
constitutional,people,8
constitutional,uphold,5
constitutional,american,5
constitutional,responsibility,4
constitutional,act,4
constitutional,way,4
constitutional,duty,4
constitutional,conscience,4
liberty,america,14
liberty,nation,12
liberty,civil,10
liberty,know,10
liberty,life,9
liberty,right,8
liberty,democracy,7
liberty,pursuit,6
liberty,people,6
liberty,dignity,5
america,american,2103
america,americans,1216
america,people,921
america,president,518
america,million,448
america,know,427
america,united,346
america,states,338
america,work,320
america,trump,317
justice,racial,91
justice,america,78
justice,injustice,74
justice,criminal,57
justice,need,56
justice,system,50
justice,right,49
justice,know,48
justice,department,44
justice,nation,43
freedom,right,18
freedom,people,17
freedom,need,14
freedom,american,12
freedom,break,12
freedom,religious,11
freedom,loose,11
freedom,world,10
freedom,fight,10
freedom,nation,10
inequality,systemic,8
inequality,address,8
inequality,climate,6
inequality,structural,6
inequality,economic,6
inequality,income,5
inequality,health,5
inequality,racial,5
inequality,crisis,4
inequality,nation,4
equity,inequity,61
equity,racial,56
equity,build,30
equity,economy,26
equity,economic,23
equity,advance,23
equity,american,17
equity,benefit,17
equity,health,16
equity,america,15
integrity,policy,41
integrity,scientificintegrity,41
integrity,agency,35
integrity,scientific,23
integrity,shall,21
integrity,memorandum,15
integrity,director,12
integrity,agencys,12
integrity,official,12
integrity,include,11
equality,inequality,30
equality,fight,24
equality,justice,16
equality,right,15
equality,woman,12
equality,know,10
equality,address,10
equality,civil,9
equality,people,9
equality,step,9
compassion,empathy,10
compassion,people,9
compassion,compassionate,6
compassion,care,6
compassion,community,5
compassion,science,5
compassion,nation,4
compassion,moment,4
compassion,joe,4
compassion,biden,4
jobs,ren,1
jobs,ewa,1
jobs,ble,1
jobs,rgie,1
jobs,million,1
jobs,bec,1
jobs,ause,1
jobs,know,1
jobs,nvest,1
jobs,american,1
cost,drug,55
cost,care,49
cost,life,44
cost,health,40
cost,bring,39
cost,million,38
cost,energy,33
cost,billion,31
cost,year,31
cost,low,30
inflation,medical,2
inflation,drug,2
inflation,price,1
inflation,able,1
inflation,increase,1
inflation,cost,1
inflation,prove,1
inflation,research,1
inflation,change,1
inflation,nature,1
wealth,wealthy,99
wealth,work,72
wealth,tax,51
wealth,family,44
wealth,pay,43
wealth,gap,43
wealth,reward,42
wealth,build,34
wealth,corporation,32
wealth,racial,32
financial,family,41
financial,burden,24
financial,work,20
financial,care,19
financial,job,18
financial,ease,18
financial,want,12
financial,access,11
financial,reward,11
financial,country,11
business,small,424
business,help,81
business,community,77
business,owner,71
business,work,63
business,worker,59
business,need,58
business,people,53
business,family,50
business,american,48
unemployment,million,76
unemployment,people,48
unemployment,file,32
unemployment,americans,26
unemployment,black,26
unemployment,crisis,24
unemployment,insurance,22
unemployment,latino,21
unemployment,worker,20
unemployment,claim,20
tax,pay,162
tax,taxis,144
tax,cut,99
tax,year,72
tax,dollar,61
tax,work,59
tax,people,51
tax,credit,50
tax,money,50
tax,billion,49
economy,build,137
economy,work,124
economy,people,74
economy,american,68
economy,health,64
economy,president,59
economy,job,58
economy,plan,56
economy,need,53
economy,family,53
economic,crisis,175
economic,health,79
economic,million,71
economic,pandemic,67
economic,plan,62
economic,people,60
economic,job,58
economic,president,56
economic,country,54
economic,work,51
climate,change,186
climate,crisis,110
climate,world,46
climate,threat,44
climate,know,39
climate,job,38
climate,paris,34
climate,think,33
climate,challenge,32
climate,meet,31
emission,zero,12
emission,net,9
emission,netzero,8
emission,world,7
emission,need,7
emission,achieve,6
emission,climate,5
emission,change,5
emission,later,5
emission,source,5
health,care,685
health,public,279
health,crisis,187
health,people,161
health,need,133
health,worker,132
health,affordable,115
health,healthcare,114
health,access,114
health,president,112
security,social,145
security,national,101
security,homeland,59
security,health,56
security,secretary,49
security,president,44
security,global,39
security,trump,37
security,department,28
security,american,27
immigration,reform,14
immigration,president,8
immigration,system,7
immigration,immigrant,7
immigration,legislative,7
immigration,administration,7
immigration,policy,7
immigration,nation,7
immigration,united,7
immigration,section,6
asylum,seek,12
asylum,seeker,9
asylum,asylumseeker,9
asylum,refugee,7
asylum,flee,6
asylum,united,6
asylum,woman,5
asylum,qualify,5
asylum,states,5
asylum,safe,5
deportation,threat,2
deportation,dreamer,2
deportation,immigrant,1
deportation,bring,1
deportation,country,1
deportation,child,1
deportation,year,1
deportation,congressional,1
deportation,republicans,1
deportation,block,1
undocumented,million,8
undocumented,immigrant,7
undocumented,roadmap,6
undocumented,citizenship,6
undocumented,country,4
undocumented,live,4
undocumented,dreamer,3
undocumented,enrich,3
undocumented,nearly,2
undocumented,immigration,2
border,wall,13
border,child,12
border,parent,11
border,southern,10
border,separate,9
border,security,9
border,human,9
border,right,8
border,fact,7
border,policy,6
military,world,31
military,family,21
military,country,21
military,know,14
military,people,14
military,history,13
military,states,12
military,strong,11
military,american,11
military,support,10
criminal,justice,61
criminal,reform,31
criminal,system,30
criminal,record,24
criminal,people,21
criminal,expunge,13
criminal,need,13
criminal,issue,11
criminal,marijuana,8
criminal,know,8
senate,united,66
senate,states,62
senate,house,38
senate,vote,33
senate,president,30
senate,year,28
senate,people,23
senate,know,22
senate,work,22
senate,committee,21
bill,billion,321
bill,dollar,86
bill,year,75
bill,pay,73
bill,tax,72
bill,america,51
bill,invest,50
bill,president,48
bill,pass,46
bill,people,44
